RIL,Round,Rep,Height_mm,Silique_no,Height_avgbyrd,Silique_avgbyrd,Height_diff,Silique_diff,,,,
9,1,3,126,132,241.6,414.6,0.52,0.32,,,,
9,5,1,270,1162,220,686.1,,,,,,
9,5,2,210,704,220,686.1,,,,,,
9,6,2,208,477,228.8,466.1,,,,,,
9,6,3,208,350,228.8,466.1,,,,,,
9,7,3,313,1491,271.1,1166.2,,,,,,
29,5,1,230,840,220,686.1,,,,,,
29,5,2,246,1424,220,686.1,,,,,,
29,1,2,236,403,241.6,414.6,0.98,0.97,,,,
29,1,1,232,593,241.6,414.6,0.96,1.43,,,,
29,6,1,274,621,228.8,466.1,,,,,,
29,6,2,233,589,228.8,466.1,,,,,,
29,6,3,258,749,228.8,466.1,,,,,,
29,7,3,260,1268,271.1,1166.2,,,,,,
29,7,4,263,988,271.1,1166.2,,,,,,
51,1,5,184,210,241.6,414.6,0.76,0.51,,,,
51,1,3,263,504,241.6,414.6,1.09,1.22,,,,
51,5,1,247,1255,220,686.1,,,,,,
51,5,2,240,970,220,686.1,,,,,,
51,6,1,202,698,228.8,466.1,,,,,,
51,6,2,261,718,228.8,466.1,,,,,,
51,6,3,229,765,228.8,466.1,,,,,,
51,7,2,291,1485,271.1,1166.2,,,,,,
51,7,3,250,1612,271.1,1166.2,,,,,,
53,0,8,134,75,198.1,199.8,0.68,0.38,,,,
53,0,3,161,71,198.1,199.8,0.81,0.36,,,,
53,0,7,241,95,198.1,199.8,1.22,0.48,,,,
53,0,1,240,245,198.1,199.8,1.21,1.23,,,,
53,0,9,187,161,198.1,199.8,0.94,0.81,,,,
53,0,5,225,186,198.1,199.8,1.14,0.93,,,,
53,0,6,211,189,198.1,199.8,1.07,0.95,,,,
53,0,2,205,171,198.1,199.8,1.03,0.86,,,,
53,0,4,195,185,198.1,199.8,0.98,0.93,,,,
53,0,10,179,125,198.1,199.8,0.90,0.63,,,,
53,0.5,7,283,605,327.6,727.4,0.86,0.83,,,,
53,0.5,6,264,506,327.6,727.4,0.81,0.70,,,,
53,0.5,3,290,556,327.6,727.4,0.89,0.76,,,,
53,0.5,2,375,736,327.6,727.4,1.14,1.01,,,,
53,0.5,8,319,529,327.6,727.4,0.97,0.73,,,,
53,0.5,4,327,583,327.6,727.4,1.00,0.80,,,,
53,0.5,4,289,165,327.6,727.4,0.88,0.23,,,,
53,0.5,1,332,668,327.6,727.4,1.01,0.92,,,,
53,1,3,286,487,241.6,414.6,1.18,1.17,,,,
53,2,13,297,1602,286.6,966.7,1.04,1.66,,,,
53,6,1,305,510,228.8,466.1,,,,,,
53,6,2,319,669,228.8,466.1,,,,,,
53,6,3,283,332,228.8,466.1,,,,,,
57,1,4,179,292,241.6,414.6,0.74,0.70,,,,
58,5,1,220,461,220,686.1,,,,,,
58,5,2,256,619,220,686.1,,,,,,
58,5,3,186,334,220,686.1,,,,,,
58,6,1,167,201,228.8,466.1,,,,,,
58,6,2,184,375,228.8,466.1,,,,,,
58,6,3,237,284,228.8,466.1,,,,,,
58,7,1,261,775,271.1,1166.2,,,,,,
58,7,5,240,511,271.1,1166.2,,,,,,
59,1,6,306,432,241.6,414.6,1.27,1.04,,,,
59,5,1,203,455,220,686.1,,,,,,
59,6,1,183,222,228.8,466.1,,,,,,
59,6,2,211,284,228.8,466.1,,,,,,
59,6,3,248,272,228.8,466.1,,,,,,
59,7,5,208,800,271.1,1166.2,,,,,,
59,7,3,268,944,271.1,1166.2,,,,,,
74,5,2,211,279,220,686.1,,,,,,
74,1,3,200,206,241.6,414.6,0.83,0.50,,,,
74,1,1,234,322,241.6,414.6,0.97,0.78,,,,
74,7,1,300,1487,271.1,1166.2,,,,,,
74,7,2,293,1232,271.1,1166.2,,,,,,
111,1,4,235,421,241.6,414.6,0.97,1.02,,,,
111,5,1,220,845,220,686.1,,,,,,
111,5,2,240,809,220,686.1,,,,,,
111,5,3,195,431,220,686.1,,,,,,
111,6,1,178,326,228.8,466.1,,,,,,
111,6,2,211,452,228.8,466.1,,,,,,
111,6,3,197,447,228.8,466.1,,,,,,
115,1,4,238,586,241.6,414.6,0.99,1.41,,,,
115,5,1,200,437,220,686.1,,,,,,
115,5,2,244,1249,220,686.1,,,,,,
115,7,1,262,1456,271.1,1166.2,,,,,,
115,7,2,252,1234,271.1,1166.2,,,,,,
115,7,3,238,1971,271.1,1166.2,,,,,,
115,7,4,219,565,271.1,1166.2,,,,,,
115,7,5,248,1625,271.1,1166.2,,,,,,
118,5,1,224,1091,220,686.1,,,,,,
118,1,5,209,491,241.6,414.6,0.87,1.18,,,,
124,1,2,187,587,241.6,414.6,0.77,1.42,,,,
124,1,6,221,478,241.6,414.6,0.91,1.15,,,,
124,1,4,254,579,241.6,414.6,1.05,1.40,,,,
124,5,1,124,59,220,686.1,,,,,,
124,5,2,16.5,396,220,686.1,,,,,,
124,7,1,275,1518,271.1,1166.2,,,,,,
124,7,3,302,767,271.1,1166.2,,,,,,
124,7,4,257,726,271.1,1166.2,,,,,,
124,7,5,310,1561,271.1,1166.2,,,,,,
124,7,6,270,904,271.1,1166.2,,,,,,
142,1,4,189,200,241.6,414.6,0.78,0.48,,,,
142,1,1,188,214,241.6,414.6,0.78,0.52,,,,
142,5,1,221,406,220,686.1,,,,,,
142,6,2,244,509,228.8,466.1,,,,,,
142,6,1,227,395,228.8,466.1,,,,,,
142,6,3,214,538,228.8,466.1,,,,,,
144,0,5,202,199,198.1,199.8,1.02,1.00,,,,
144,0,10,191,265,198.1,199.8,0.96,1.33,,,,
144,0,1,206,294,198.1,199.8,1.04,1.47,,,,
144,0,7,209,205,198.1,199.8,1.06,1.03,,,,
144,0,9,195,297,198.1,199.8,0.98,1.49,,,,
144,0,7,207,282,198.1,199.8,1.04,1.41,,,,
144,0,1,241,417,198.1,199.8,1.22,2.09,,,,
144,0,6,218,299,198.1,199.8,1.10,1.50,,,,
144,0,2,209,335,198.1,199.8,1.06,1.68,,,,
144,0,10,239,375,198.1,199.8,1.21,1.88,,,,
144,0,8,205,255,198.1,199.8,1.03,1.28,,,,
144,0,3,188,150,198.1,199.8,0.95,0.75,,,,
144,1,6,236,411,241.6,414.6,0.98,0.99,,,,
144,1,1,355,363,241.6,414.6,1.47,0.88,,,,
144,1,5,210,179,241.6,414.6,0.87,0.43,,,,
144,2,16,222,709,286.6,966.7,0.77,0.73,,,,
144,2,9,174,746,286.6,966.7,0.61,0.77,,,,
144,2,11,164,385,286.6,966.7,0.57,0.40,,,,
144,6,1,225,367,228.8,466.1,,,,,,
144,6,2,214,421,228.8,466.1,,,,,,
144,6,3,224,342,228.8,466.1,,,,,,
144,7,1,248,777,271.1,1166.2,,,,,,
148,0,6,181,184,198.1,199.8,0.91,0.92,,,,
148,1,3,193,372,241.6,414.6,0.80,0.90,,,,
148,1,5,246,465,241.6,414.6,1.02,1.12,,,,
148,2,2,321,945,286.6,966.7,1.12,0.98,,,,
148,2,1,295,822,286.6,966.7,1.03,0.85,,,,
148,6,1,183,374,228.8,466.1,,,,,,
148,6,2,177,426,228.8,466.1,,,,,,
148,7,1,275,934,271.1,1166.2,,,,,,
148,7,2,280,1127,271.1,1166.2,,,,,,
148,7,3,293,1083,271.1,1166.2,,,,,,
148,7,4,228,1453,271.1,1166.2,,,,,,
148,7,5,277,1325,271.1,1166.2,,,,,,
148,7,6,288,1236,271.1,1166.2,,,,,,
148,7,7,260,678,271.1,1166.2,,,,,,
153,1,6,298,731,241.6,414.6,1.23,1.76,,,,
153,2,2,405,1328,286.6,966.7,1.41,1.37,,,,
153,2,1,415,1197,286.6,966.7,1.45,1.24,,,,
153,5,1,158,279,220,686.1,,,,,,
153,5,2,225,468,220,686.1,,,,,,
153,7,1,360,683,271.1,1166.2,,,,,,
153,7,4,305,1771,271.1,1166.2,,,,,,
153,7,5,292,1501,271.1,1166.2,,,,,,
169,1,4,207,187,241.6,414.6,0.86,0.45,,,,
169,7,1,248,1278,271.1,1166.2,,,,,,
180,0,8,246,225,198.1,199.8,1.24,1.13,,,,
180,0,7,120,112,198.1,199.8,0.61,0.56,,,,
180,0,3,189,163,198.1,199.8,0.95,0.82,,,,
180,0.5,1,397,592,327.6,727.4,1.21,0.81,,,,
180,5,1,218,415,220,686.1,,,,,,
180,5,2,194,399,220,686.1,,,,,,
180,7,1,222,1888,271.1,1166.2,,,,,,
187,0,9,226,286,198.1,199.8,1.14,1.43,,,,
187,0,4,170,101,198.1,199.8,0.86,0.51,,,,
187,0,3,227,200,198.1,199.8,1.15,1.00,,,,
187,0,1,196,95,198.1,199.8,0.99,0.48,,,,
187,0,10,139,50,198.1,199.8,0.70,0.25,,,,
187,0,8,181,124,198.1,199.8,0.91,0.62,,,,
187,0,5,173,146,198.1,199.8,0.87,0.73,,,,
187,0.5,7,315,1398,327.6,727.4,0.96,1.92,,,,
187,0.5,8,331,1126,327.6,727.4,1.01,1.55,,,,
187,0.5,3,409,1265,327.6,727.4,1.25,1.74,,,,
187,5,1,300,1055,220,686.1,,,,,,
187,5,2,271,520,220,686.1,,,,,,
187,5,3,274,1313,220,686.1,,,,,,
187,6,1,279,642,228.8,466.1,,,,,,
187,6,2,253,663,228.8,466.1,,,,,,
187,6,3,245,560,228.8,466.1,,,,,,
189,1,1,266,683,241.6,414.6,1.10,1.65,,,,
189,1,4,251,688,241.6,414.6,1.04,1.66,,,,
189,1,3,196,393,241.6,414.6,0.81,0.95,,,,
189,5,1,172,210,220,686.1,,,,,,
189,5,2,179,132,220,686.1,,,,,,
189,7,1,272,767,271.1,1166.2,,,,,,
189,7,4,309,912,271.1,1166.2,,,,,,
189,7,5,295,817,271.1,1166.2,,,,,,